//Serial	NPC Name	NPC Type	Chrindex ID	Show Mini-map	Coordinates starting point	Coordination Goal	NPC placement	Region	Region ID	NPC Script	info manage	Test Status
44	Xeus	1	405	0	213813,54555	213813,54555	159	#BIRTH_BIRTH_CONF_LUA_000016#	60	0	r_talk172	0
45	Hoho	1	413	11	214262,55609	214262,55609	204	#BIRTH_BIRTH_CONF_LUA_000016#	60	0	r_talk173	0
46	Teleporter - Mina	1	400	7	211692,55139	211692,55139	144	#BIRTH_BIRTH_CONF_LUA_000016#	60	0	transmittal	0
47	Neila	1	443	0	267573,63174	267573,63174	170	#BIRTH_BIRTH_CONF_LUA_000017#	64	0	r_talk121	0
48	Lulu	1	402	0	266885,63490	266885,63490	159	#BIRTH_BIRTH_CONF_LUA_000017#	64	0	r_talk99	0
49	Mekkilon	1	402	0	266292,64821	266292,64821	99	#BIRTH_BIRTH_CONF_LUA_000017#	64	0	r_talk174	0
50	Fardey	1	17	11	268019,65721	268019,65721	-34	#BIRTH_BIRTH_CONF_LUA_000017#	64	0	r_talk95	0
51	Teleporter - Artemis	1	400	7	269637,63821	269637,63821	159	#BIRTH_BIRTH_CONF_LUA_000017#	64	0	transmittal	0
52	Jernis	1	421	0	80392,35216	80392,35216	144	#BIRTH_BIRTH_CONF_LUA_000014#	56	0	r_talk110	0
53	Granny Dong	1	26	0	79533,36321	79533,36321	88	#BIRTH_BIRTH_CONF_LUA_000014#	56	0	r_talk127	0
54	Nana	1	24	0	79849,36993	79849,36993	54	#BIRTH_BIRTH_CONF_LUA_000014#	56	0	r_talk175	0
55	Weird Grampa	1	429	11	80869,37361	80869,37361	39	#BIRTH_BIRTH_CONF_LUA_000014#	56	0	r_talk176	0
56	Teleporter -Lily	1	400	7	81800,35420	81800,35420	159	#BIRTH_BIRTH_CONF_LUA_000014#	56	0	transmittal	0
57	Tae	1	445	0	212875,54026	212875,54026	179	#BIRTH_BIRTH_CONF_LUA_000016#	60	0	r_talk177	0
58	Harbor Operator - Hux	1	453	9	164218,198624	164218,198624	9	#BIRTH_BIRTH_CONF_LUA_000024#	70	0	r_talk202	0
59	Harbor Operator - Gregory	1	453	9	19433,171580	19433,171580	20	#RESOURCE_AREASET_TXT_000054#	83	0	r_talk203	0
60	Harbor Operator - Odie	1	453	9	73818,380324	73818,380324	20	#RESOURCE_AREASET_TXT_000055#	84	0	r_talk204	0
61	Harbor Operator - Ramus	1	453	9	229717,372373	229717,372373	0	#RESOURCE_AREASET_TXT_000056#	85	0	r_talk205	0
62	Trader - Bowey	1	17	4	161915,197629	161915,197629	54	#BIRTH_BIRTH_CONF_LUA_000024#	70	0	r_talk206	0
63	Trader - Pahniro	1	17	4	126028,57359	126028,57359	155	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk209	0
64	Freight - Alkins	1	440	9	105951,67052	105951,67052	189	#BIRTH_BIRTH_CONF_LUA_000015#	59	0	r_talk220	0
65	Island Teleporter - Juliet	1	11	7	163428,196823	163428,196823	219	#BIRTH_BIRTH_CONF_LUA_000024#	70	0	island	0
//66
67	Island Teleporter - Lanna	1	11	7	219573,278526	219573,278526	-137	#RESOURCE_AREASET_TXT_000024#	29	0	r_talk223	0
68	Luke	1	454	0	132068,58570	132068,58570	302	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk226	0
69	Master Kerra	1	401	0	266432,65465	266432,65465	56	#BIRTH_BIRTH_CONF_LUA_000017#	64	0	r_talk227	0
70	Sasha	1	423	0	267878,63126	267878,63126	169	#BIRTH_BIRTH_CONF_LUA_000017#	64	0	r_talk232	0
71	Kevin Wolf	1	429	0	268875,62828	268875,62828	179	#BIRTH_BIRTH_CONF_LUA_000017#	64	0	r_talk233	0
72	Merchant	1	19	17	132674,53171	132674,53171	211	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk234	0
73	Accessory - Dunman	1	19	13	267328,65777	267328,65777	3	#BIRTH_BIRTH_CONF_LUA_000017#	64	0	r_talk241	0
74	Freight - Jas	1	440	9	198124,55024	198124,55024	160	#RESOURCE_AREASET_TXT_000018#	22	0	r_talk246	0
75	Blacksmith - Wu Xin	1	733	1	331665,251639	331665,251639	354	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk1	0
76	Tavern Keeper - Long Er	1	737	11	330251,250183	330251,250183	174	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk2	0
77	Grocery - Luna	1	758	12	327981,250143	327981,250143	159	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk3	0
78	Commerce - Yuri	1	756	4	319561,250611	319561,250611	118	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk4	0
79	Teleporter - Chun Li	1	732	7	332693,251188	332693,251188	339	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk5	0
80	Diviner - Hocus Pocus	1	759	0	326250,250244	326250,250244	354	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk6	0
81	Hotel Owner - Sang Di	1	738	0	328713,250185	328713,250185	174	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk7	0
82	Harbor Operator - Shuang	1	760	9	340930,256021	340930,256021	189	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk8	0
83	Banker - Wang Mo	1	755	0	329078,251295	329078,251295	354	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk9	0
84	Guard - Zhao	1	771	0	330384,253395	330384,253395	9	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk10	0
85	Guard - Zhou	1	773	0	329820,253400	329820,253400	339	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk11	0
86	Youth - Cloud	1	772	0	327579,246787	327579,246787	219	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk12	0
87	Youth - Misty	1	774	0	324125,253336	324125,253336	281	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk13	0
88	Bill	1	779	0	323545,255054	323545,255054	9	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk14	0
89	Wang Rong	1	775	0	326505,254765	326505,254765	324	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk15	0
90	Northern Pirate - Yakamoto	1	736	0	221900,328600	221900,328600	9	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk16	0
91	Hairstylist	1	735	0	330030,251341	330030,251341	9	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk17	0
92	Harbor Operator - Qing	1	442	9	368558,265209	368558,265209	219	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk19	0
93	Harbor Operator - Yun	1	442	9	333797,352337	333797,352337	118	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	b_talk20	0
94	Black Market Merchant	1	415	4	137000,58700	137000,58700	90	#RESOURCE_AREASET_TXT_000016#	20	0	leo_talk10	0
95	Furnace of Immortality	1	839	9	325750,250244	325750,250244	354	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	star_talk02	0
96	Matchstick	1	867	0	136300,56300	136300,56300	180	#RESOURCE_AREASET_TXT_000016#	20	0	b_talk25	0
97	Substance Analysis Tool	1	866	0	134100,56500	130700,50000	45	#RESOURCE_AREASET_TXT_000016#	20	0	b_talk28	0
98	Chaos Administrator	1	424	0	137411,52911	137411,52911	210	#RESOURCE_AREASET_TXT_000016#	20	0	kk_talk01	0
/99
100	Fairy Merchant	1	415	4	137000,58900	137000,58900	90	#RESOURCE_AREASET_TXT_000016#	20	0	leo_talkcc	0
101	Assistant - Blue	1	442	0	134000,56100	134000,56100	30	Lower Icicle Castle	20	0	max_talka1	0	
102	Matchstick Granny	1	25	0	136400,56100	136400,56100	180	#RESOURCE_AREASET_TXT_000016#	20	0	max_talka2	0
103	Sacred War Clerk Marya	1	424	0	145000,61300	145000,61300	255	#RESOURCE_AREASET_TXT_000016#	20	0	roico_talk	0
//104
//105	ZhiNu	1	774	0	322000,248900	322000,248900	45	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	amon_talk3	0
//106	NiuLang	1	772	0	373400,264900	373400,264900	45	RESOURCE_AREASET_TXT_000016	27	0	amon_talk2	0
//107
//108
//109
//110
//111
//112
113	Autumn Island Tourist Girl	1	442	0	242300,318600	242300,318600	150	#RESOURCE_AREASET_TXT_000024#	29	0	el_talk24	0
114	Gift Giver	1	16	0	130700,50000	130700,50000	-109	#RESOURCE_AREASET_TXT_000016#	20	0	pre_talk	0
115	Tidekeeper Maren	1	1130	1	136475,52925	136475,52925	180	Lower Icicle Castle	1	0	waterbreak_3	0
//117
116	Nurse - Tourist	1	419	3	136087,54032	136087,54032	30	Lower Icicle Castle	1	0	x_ChaosHeal	0
117	Job Advancer - Jenna	1	430	15	131375,48925	131375,48925	180	Lower Icicle Castle	1	0	JobChanger	0
118	Tribulation Administrator	1	1192	0	130070,52980	130070,52980	180	Argent City	1	0	trib_admin	0
//121
//122
//123
//124
125	Ville's Statue	1	1079	0	258200,324500	258200,324500	180	#RESOURCE_AREASET_TXT_000024#	29	0	d_talk23	0
126	Nurse - Elaine	1	29	3	132900,54400	132900,54400	324	#RESOURCE_AREASET_TXT_000016#	20	0	r_talk281	0
127	Nurse - Ruth	1	29	3	212100,55000	212100,55000	144	#BIRTH_BIRTH_CONF_LUA_000016#	60	0	r_talk282	0
128	Nurse - Fiona	1	29	3	270000,63800	270000,63800	159	#BIRTH_BIRTH_CONF_LUA_000017#	64	0	r_talk283	0
129	Nurse - Evelyn	1	29	3	82200,35300	82200,35300	159	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk284	0
130	Nurse - Freda	1	29	3	163600,197100	163600,197100	219	#BIRTH_BIRTH_CONF_LUA_000024#	70	0	r_talk285	0
131	Nurse - Gavin	1	29	3	104600,64300	104600,64300	84	#RESOURCE_AREASET_TXT_000017#	21	0	r_talk286	0
132	Nurse - Stella	1	29	3	332200,251200	332200,251200	339	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	r_talk287	0
133	Pucca	1	1140	0	132000,54500	132000,54500	270	#RESOURCE_AREASET_TXT_000016#	13	0	e_talk001	0
134	Mysterious Augur	1	1141	0	130900,50600	130900,50601	225	#RESOURCE_AREASET_TXT_000016#	13	0	e_talk003	0
135	Leo's Assistant	1	30	0	136800,57200	136800,57200	219	#RESOURCE_AREASET_TXT_000016#	20	0	mian_talk04	0
//136
//137
//138
//139
//140
//141	Tourist - Seb	1	425	0	320100,247000	320100,247000	180	#BIRTH_BIRTH_CONF_LUA_000045#	24	0	yrj_talk01	0
141	Free Lunch - Moon	1	1129	0	131100,49700	131100,49700	354	Lower Icicle Castle	20	0	FreeNPC	0
