[08-14 01:34:15]AddBoatLevel: count, level, money, exp 1  2  2  4  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 63  64  104997  4096  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 64  65  119167  4225  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 65  66  135242  4356  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 66  67  153480  4489  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 67  68  174170  4624  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 68  69  197644  4761  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 69  70  224276  4900  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 70  71  254492  5041  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 71  72  288773  5184  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 72  73  327669  5329  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 73  74  371800  5476  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 74  75  421875  5625  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 75  76  478692  5776  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 76  77  543165  5929  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 77  78  616324  6084  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 78  79  699344  6241  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 79  80  793558  6400  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 80  81  900478  6561  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 81  82  1021822  6724  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 82  83  1159542  6889  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 83  84  1315855  7056  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 84  85  1493277  7225  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 85  86  1694669  7396  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 86  87  1923279  7569  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 87  88  2182797  7744  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 88  89  2477417  7921  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 89  90  2811902  8100  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 90  91  3191665  8281  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 91  92  3622858  8464  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 92  93  4112469  8649  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 93  94  4668443  8836  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 94  95  5299809  9025  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 95  96  6016828  9216  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 96  97  6831164  9409  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 97  98  7756078  9604  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 98  99  8806644  9801  
[08-14 01:34:15]AddBoatLevel: count, level, money, exp 99  100  10000000  10000  
