//ID	Item Name	Description	Price	Hot	Items	Quantity	Duration	Stock
1	Fairy Ration	Recovers the stamina of a Pet	20	-1	227	99	1682401669	0
48	Pass to Abandoned Mine 2	Ticket	1	-1	3056	1	-1	-1
49	Pass to Sacred Snow Mountain	Ticket	1	-1	3050	1	-1	-1
50	Pass to Spring Town	Ticket	1	-1	3076	1	-1	-1
//Forge
51	Socket Pack	Socket	79	-1	890,891	1,1	-1	-1
52	Fiery Gem Voucher	Gem Voucher	49	-1	856	1	-1	-1
53	Furious Gem Voucher	Gem Voucher	49	-1	857	1	-1	-1
54	Explosive Gem Voucher	Gem Voucher	49	-1	858	1	-1	-1
55	Lustrious Gem Voucher	Gem Voucher	49	-1	859	1	-1	-1
56	Spirit Gem Voucher	Gem Voucher	49	-1	911	1	-1	-1
57	Glowing Gem Voucher	Gem Voucher	49	-1	914	1	-1	-1
58	Shining Gem Voucher	Gem Voucher	49	-1	915	1	-1	-1
59	Shadow Gem Voucher	Gem Voucher	49	-1	916	1	-1	-1
60	Blacksmith Pliers	Allow gem to be extracted from weapons or equipments	2	-1	1020	3	-1	-1
//Miscellaneous
61	Full Body Armor	A Potion	119	-1	852	5	-1	-1
62	Item-locking Stone	Items will be locked after using it	12	-1	5939	1	-1	-1
63	Primary Magic Powder	Mysterious powder from Pet Fairies.	20	-1	6529	1	-1	-1
64	Junior Magic Powder	Mysterious powder from Pet Fairies.	40	-1	6530	1	-1	-1
65	Senior Magic Powder	Mysterious powder from Pet Fairies.	80	-1	6531	1	-1	-1
66	Soul Detector Lv1	New weapon for usage on land.	4	-1	1138	1	-1	-1
67	Skill-Snooty	Pet Skill Book	4	-1	1131	1	-1	-1
68	Skill-Fool	Pet Skill Book	4	-1	1130	1	-1	-1
69	Skill-Trickster	Pet Skill Book	4	-1	1132	1	-1	-1
70	Skill-Coin Shower	Pet Skill Book	4	-1	1129	1	-1	-1
71	Rose;18	Misc	4	-1	3343	18	-1	-1
72	Lovers Chocolate;18	Misc	4	-1	3344	18	-1	-1
73	Little Snow Ball;9	Misc	4	-1	2896	9	-1	-1
74	Inventory Pack	Misc	599	-1	3088,3089,3090,3091,3092,3093	1,1,1,1,1,1	-1	-1
75	Unique Ring Voucher	Ring	1099	-1	580	1	-1	-1
76	Unique Necklace Voucher	Necklace	1099	-1	581	1	-1	-1
//Forge Mall
77	Refining Catalyst	Increases forging	19	-1	3074	1	-1	-1
78	Composition Catalyst	Increases composition	19	-1	3075	1	-1	-1
//Miscellaneous Mall
79	Goddess's Favor	As it was blessed by the Goddess	99	-1	938	1	-1	-1
80	Alloy Pickaxe	Equipped with this pickaxe to mine Meteorite	69	-1	3908	1	-1	-1
81	Gold Pickaxe	Mining tool for all class that produce double yield	139	-1	208	1	-1	-1
82	Gold Axe	Woodcutting tool for all class that produce double yield	139	-1	207	1	-1	-1
//Forge Mall
83	Fusion Scroll	Fusion Apparel	1	-1	453	1	-1	-1
84	Fusion Catalyst	Dont lose gems on fusion	1	-1	454	1	-1	-1
85	Strengthening Scroll	Strengthening	1	-1	455	1	-1	-1
86	Strengthening Crystal	Strengthening	1	-1	456	1	-1	-1
//Pet Mall
87	Snow Dragon Fruit	Pet Food	4	-1	222	1	-1	-1
88	Icespire Plum	Pet Food	4	-1	223	1	-1	-1
89	Zephyr Fish Floss	Pet Food	4	-1	224	1	-1	-1
90	Argent Mango	Pet Food	4	-1	225	1	-1	-1
91	Shaitan Biscuit	Pet Food	4	-1	226	1	-1	-1
///Apparels
92	Tiger Cavalry Set	Phyllis Apparel	199	-1	5166,5167,5168	1,1,1	-1	-1
93	Tiger Cavalry Set	Lance Apparel	199	-1	5154,5155,5156	1,1,1	-1	-1
94	Capricious Dragon Set	Lance Apparel	199	-1	5159,5158,5157	1,1,1	-1	-1
95	Capricious Dragon Set	Phyllis Apparel	199	-1	5169,5170,5171	1,1,1	-1	-1
96	Sassy Princess Hat	Phyllis Apparel	199	-1	5146	1	-1	-1
97	Bloodmoon Set	Lance Apparel	199	-1	5661,5662,5663,5664	1,1,1,1	-1	-1
98	Bloodmoon Set	Carsise Apparel	199	-1	5665,5666,5667,5668	1,1,1,1	-1	-1
99	Bloodmoon Set	Phyllis Apparel	199	-1	5669,5670,5671,5672	1,1,1,1	-1	-1
100	Bloodmoon Set	Ami Apparel	199	-1	5673,5674,5675,5676	1,1,1,1	-1	-1
101	Bruce Set	Lance Apparel	199	-1	5227,5228,5229	1,1,1	-1	-1
102	Bruce Set	Phyllis Apparel	199	-1	5241,5242,5243	1,1,1	-1	-1
///Reset Stone
103	Resetting Stone	For resetting properties	299	-1	6868	1	-1	-1
//Apps Added by ChaosGM
104	Alluring Set	Phyllis Apparel	199	-1	5015,5023,5031	1,1,1	-1	-1
/// Name of App Description    Price -1 ID,ID,ID, (if only 1 just add 1 id etc) quantily if 1 id just 1 , if 3 ids 1,1,1  -1  -1
/// Weapons
105	Sword of Azure Flame	Apparel	199	-1	5001	1	-1	-1
106	Sword of Crimson Thunder	Apparel	199	-1	5002	1	-1	-1
107	Great Hammer of Zest	Apparel	199	-1	5003	1	-1	-1
108	Blade of the Frozen Crescent	Apparel	199	-1	5004	1	-1	-1
109	Rattle Drum of the Burning	Apparel	199	-1	5006	1	-1	-1
110	Sword of Crimson Flame	Apparel	199	-1	5007	1	-1	-1
111	Sword of Azure Thunder	Apparel	199	-1	5008	1	-1	-1
112	Great Hammer of Hone	Apparel	199	-1	5009	1	-1	-1
113	Blade of Burning Crescent	Apparel	199	-1	5010	1	-1	-1
114	Rattle Drum of the Frozen Crescent	Apparel	199	-1	5012	1	-1	-1
115	Victorian	Apparel	199	-1	5011	1	-1	-1
116	Sword of Cadaver	Apparel	199	-1	5070	1	-1	-1
117	Greatsword of Cadaver	Apparel	199	-1	5071	1	-1	-1
118	Firegun of Cadaver	Apparel	199	-1	5072	1	-1	-1
119	Staff of Cadaver	Apparel	199	-1	5073	1	-1	-1
120	Dagger of Cadaver	Apparel	199	-1	5074	1	-1	-1
//Crystals
121	10 Item Mall Points	Crystal	10	-1	9433	1	-1	-1
122	50 Item Mall Points	Crystal	50	-1	9434	1	-1	-1
123	100 Item Mall Points	Crystal	100	-1	9435	1	-1	-1
//Weapons
124	Falchion	Apparel	199	-1	5099	1	-1	-1
125	Long Falchion	Apparel	199	-1	5100	1	-1	-1
126	Katana	Apparel	199	-1	5101	1	-1	-1
127	August Sword 1	Apparel	199	-1	5208	1	-1	-1
128	August Greataxe 1	Apparel	199	-1	5209	1	-1	-1
129	August Firegun 1	Apparel	199	-1	5210	1	-1	-1
130	August Staff 1	Apparel	199	-1	5211	1	-1	-1
131	August Dagger 1	Apparel	199	-1	5212	1	-1	-1
132	August Sword 2	Apparel	199	-1	5213	1	-1	-1
133	August Greataxe 2	Apparel	199	-1	5214	1	-1	-1
134	August Firegun 2	Apparel	199	-1	5215	1	-1	-1
135	August Staff 2	Apparel	199	-1	5216	1	-1	-1
136	August Dagger 2	Apparel	199	-1	5217	1	-1	-1
137	Foldable Chair	Apparel	199	-1	5276	1	-1	-1
138	Langa's Cleaning Brush	Apparel	199	-1	5277	1	-1	-1
139	Branch of Defecate	Apparel	199	-1	5278	1	-1	-1
140	Goddess of Vengence	Apparel	199	-1	5279	1	-1	-1
141	Soup Spoon	Apparel	199	-1	5280	1	-1	-1
142	Pseudo Air Cannon	Apparel	199	-1	5281	1	-1	-1
143	Oriental Mystic Chopsticks	Apparel	199	-1	5282	1	-1	-1
144	Barborosa's Knife&Fork	Apparel	270	-1	5283,5284	1	-1	-1
145	Matchstick Granny's Pan	Apparel	199	-1	5285	1	-1	-1
146	Fine Crossbow	Apparel	199	-1	5286	1	-1	-1
/// Apparels****
147	Lance Aries Set	Apparel	199	-1	5341,5342,5343	1,1,1	-1	-1
148	Caribbean Ami Set	Apparel	199	-1	5605,5606,5607,5608	1,1,1,1	-1	-1
149	New Year's Lance Set	Apparel	199	-1	5651,5652,5653,5654	1,1,1,1	-1	-1
150	New Year's Lance Set	Apparel	199	-1	5651,5652,5653,5654	1,1,1,1	-1	-1
151	Ami Wild West Set	Apparel	199	-1	5689,5690,5691,5692	1,1,1,1	-1	-1
152	Wanderer's Lance Set	Apparel	199	-1	5726,5727,5728,5729	1,1,1,1	-1	-1
153	Battle King's Set	Carsise Apparel	199	-1	5746,5747,5748,5749	1,1,1,1	-1	-1
154	Battle King's Phyllis Set	Apparel	199	-1	5850,5851,5852,5853	1,1,1,1	-1	-1
155	Ami Blue Set	Apparel	199	-1	5862,5863,5864,5865	1,1,1,1	-1	-1
156	Lance Enchanted Forest Set	Apparel	199	-1	5945,5946,5947,5948	1,1,1,1	-1	-1
157	Carise Enchanted Forest Set	Apparel	199	-1	5949,5950,5951,5952	1,1,1,1	-1	-1
158	Phyllis Enchanted Forest Set	Apparel	199	-1	5953,5954,5955,5956	1,1,1,1	-1	-1
159	Ami Enchanted Forest Set	Apparel	199	-1	5957,5958,5959,5960	1,1,1,1	-1	-1
160	Phyllis Jedi Set	Apparel	199	-1	7008,7009,7010,7011	1,1,1,1	-1	-1
161	Ami Jedi Set	Apparel	199	-1	7012,7013,7014,7015	1,1,1,1	-1	-1
162	Phyllis Kimono Set	Apparel	199	-1	7016,7017,7018,7019	1,1,1,1	-1	-1
163	Ami Kimono Set	Apparel	199	-1	7020,7021,7022,7023	1,1,1,1	-1	-1
164	Templar's Set	Apparel	199	-1	5992,5993,5994	1,1,1	-1	-1
//Weapons
165	Pirate's Hook	Apparel	199	-1	7024	1	-1	-1
166	Light Saber	Apparel	199	-1	7025	1	-1	-1
167	Paper Strips	Apparel	199	-1	7026	1	-1	-1
168	Dagger	Apparel	199	-1	7027	1	-1	-1
169	Sword	Apparel	199	-1	7028	1	-1	-1
170	Broken Bottle	Apparel	199	-1	7029	1	-1	-1
171	Bamboo	Apparel	199	-1	7030	1	-1	-1
172	Baseball Bat	Apparel	199	-1	7031	1	-1	-1
173	Chainsaw	Apparel	199	-1	7032	1	-1	-1
174	Pole	Apparel	199	-1	7033	1	-1	-1
175	Light Pole	Apparel	199	-1	7034	1	-1	-1
176	Zampaktou	Apparel	199	-1	7035	1	-1	-1
177	Rum Barrel	Apparel	199	-1	7036	1	-1	-1
178	Banana	Apparel	199	-1	7037	1	-1	-1
179	Super Soaker	Apparel	199	-1	7038	1	-1	-1
180	Water Pistol	Apparel	199	-1	7039	1	-1	-1
181	Bazooka	Apparel	199	-1	7040	1	-1	-1
182	Salted Sword Fish	Apparel	199	-1	7041	1	-1	-1
183	Lightning Gun	Apparel	199	-1	7042	1	-1	-1
184	Shotgun	Apparel	199	-1	7043	1	-1	-1
185	Laser Gun	Apparel	199	-1	7044	1	-1	-1
186	Fishing Pole	Apparel	199	-1	7045	1	-1	-1
187	Big Lollipop	Apparel	199	-1	7046	1	-1	-1
188	Flag	Apparel	199	-1	7047	1	-1	-1
189	Shepherd's Stick	Apparel	199	-1	7048	1	-1	-1
190	Fan	Apparel	199	-1	7049	1	-1	-1
///Apparels****
191	Wanderer's Ami Set	Apparel	199	-1	5738,5739,5740,5741	1,1,1,1	-1	-1
192	Catacomb Set	Lance Apparel	199	-1	5041,5045,5049	1,1,1	-1	-1
193	Catacomb Set	Carsice Apparel	199	-1	5042,5046,5050	1,1,1	-1	-1
194	Catacomb Set	Ami Apparel	199	-1	5044,5048,5052,5056	1,1,1,1	-1	-1
195	Catacomb Set	Phyllis Apparel	199	-1	5043,5047,5051	1,1,1	-1	-1
196	Buccaneer Set	Lance Apparel	199	-1	5057,5061,5065	1,1,1	-1	-1
197	Buccaneer Set	Carsice Apparel	199	-1	5058,5062,5066	1,1,1	-1	-1
198	Buccaneer Set	Phyllis Apparel	199	-1	5059,5063,5067	1,1,1	-1	-1
199	Buccaneer Set	Ami Apparel	199	-1	5060,5064,5068,5069	1,1,1,1	-1	-1
200	Aegis of Gods	Apparel	300	-1	8963	1	-1	-1
201	Rilakkuma Carsise Set	Apparel	199	-1	8851,8852,8853,8854	1,1,1,1	-1	-1
202	Rilakkuma Lance Set	Apparel	199	-1	8855,8856,8857,8858	1,1,1,1	-1	-1
203	Rilakkuma Phyllis Set	Apparel	199	-1	8859,8860,8861,8862	1,1,1,1	-1	-1
204	Rilakkuma Ami Set	Apparel	199	-1	8863,8864,8865,8866	1,1,1,1	-1	-1
///Promotion
205	Unique Appreal Card	Card	999	-1	9438	1	-1	-1
/// Apparels****
206	Hawaiian Lance Set	Apparel	199	-1	9417,9418,9419,9420	1,1,1,1	-1	-1
207	Lucky Bull's Set	Apparel	199	-1	5965,5966,5967,5968,5969	1,1,1,1,1	-1	-1
208	Lance Dark Royal Set	Apparel	199	-1	5221,5222,5223	1,1,1	-1	-1
209	Lance Priest Set	Apparel	199	-1	5224,5225,5226	1,1,1	-1	-1
210	Lance Bruce Set	Apparel	199	-1	5227,5228,5229	1,1,1	-1	-1
211	Carsise Bishop Set	Apparel	199	-1	5230,5231,5232,5233	1,1,1,1	-1	-1
212	Carsise Ranger Set	Apparel	199	-1	5234,5234,5236,5237	1,1,1,1	-1	-1
213	Carsise Ebony Set	Apparel	199	-1	5238,5239,5240	1,1,1	-1	-1
214	Phyllis Bruce Set	Apparel	199	-1	5241,5242,5243	1,1,1	-1	-1
215	Phyllis Wedding Set	Apparel	199	-1	5244,5245,5245,5246	1,1,1,1	-1	-1
216	Phyllis Vestal Set	Apparel	199	-1	5248,5249,5250,5251	1,1,1,1	-1	-1
217	Ami Wedding Set	Apparel	199	-1	5252,5253,5254,5255	1,1,1,1	-1	-1
218	Ami Vestal Set	Apparel	199	-1	5256,5257,5258,5259	1,1,1,1	-1	-1
219	Ami Chibi Set	Apparel	199	-1	5260,5261,5262,5263	1,1,1,1	-1	-1
220	Lance Christmas Set	Apparel	199	-1	5264,5265,5266	1,1,1	-1	-1
221	Carsise Christmas Set	Apparel	199	-1	5267,5268,5269	1,1,1	-1	-1
222	Phyllis Christmas Set	Apparel	199	-1	5270,5271,5272	1,1,1	-1	-1
223	Ami Christmas Set	Apparel	199	-1	5273,5274,5275	1,1,1	-1	-1
224	Lance Romantic Set	Apparel	199	-1	5303,5304,5305	1,1,1	-1	-1
225	Carsise Romantic Set	Apparel	199	-1	5306,5307,5308	1,1,1	-1	-1
226	Phyllis Romantic Set	Apparel	199	-1	5309,5310,5311	1,1,1	-1	-1
227	Ami Romantic Set	Apparel	199	-1	5312,5313,5314	1,1,1	-1	-1
228	Lance Piggy Set	Apparel	199	-1	5315,5316,5317,5318	1,1,1,1	-1	-1
229	Carsise Piggy Set	Apparel	199	-1	5319,5320,5321,5322	1,1,1,1	-1	-1
230	Phyllis Piggy Set	Apparel	199	-1	5323,5324,5325,5326	1,1,1,1	-1	-1
231	Ami Piggy Set	Apparel	199	-1	5327,5328,5329,5330	1,1,1,1	-1	-1
232	Hunny Ami Set	Apparel	199	-1	5400,5401,5402,5403	1,1,1,1	-1	-1
233	Baccalaureate Lance Set	Apparel	199	-1	5404,5405,5406	1,1,1	-1	-1
234	Baccalaureate Carsise Set	Apparel	199	-1	5407,5408,5409	1,1,1	-1	-1
235	Baccalaureate Phyllis Set	Apparel	199	-1	5410,5411,5412	1,1,1	-1	-1
236	Baccalaureate Ami Set	Apparel	199	-1	5413,5414,5415	1,1,1	-1	-1
237	Student Phyllis Set	Apparel	199	-1	5416,5417,5418	1,1,1	-1	-1
238	Student Ami Set	Apparel	199	-1	5419,5420,5421	1,1,1	-1	-1
239	Romantic Pas Lance Set	Apparel	199	-1	5422,5423	1,1	-1	-1
240	Romantic Pas Carsise Set	Apparel	199	-1	5424,5425	1,1	-1	-1
241	Pink Angel Ami Set	Apparel	199	-1	5428,5429,5430,5431	1,1,1,1	-1	-1
242	Deadly Ruler	Apparel	199	-1	5448	1	-1	-1
243	Beef Tendon Bidirectional	Apparel	199	-1	5449	1	-1	-1
244	Deluxe Binding Encyclopaedia	Apparel	199	-1	5450	1	-1	-1
245	Snake-heart Magic	Apparel	199	-1	5451	1	-1	-1
246	Sharp Dividers	Apparel	199	-1	5452	1	-1	-1
247	Yahoo Duckbilled Hat-Lance	Apparel	199	-1	5472	1	-1	-1
248	Yahoo Duckbilled Hat-Carsise	Apparel	199	-1	5473	1	-1	-1
249	Yahoo Duckbilled Hat-Phyllis	Apparel	199	-1	5474	1	-1	-1
250	Yahoo Duckbilled Hat-Ami	Apparel	199	-1	5475	1	-1	-1
//Manu and Cooking Package
251	Impact Arsenal	Manufacturing	299	1	1136,1137,1138,1146,1148	29,19,19,19,19	-1	-1
252	Explosive Chef's Kit	Cooking	299	1	1078,4020,1087	29,19,4	-1	-1
/// Apparels ROSO EXCLUSIVE
253	Blue Dev Armor	Apparel	399	-1	10001	1	-1	-1
254	Sky Dagger	Apparel	399	-1	10002	1	-1	-1
255	Ninja Lance	Apparel	399	-1	10003,10005	1,1	-1	-1
256	Ninja Ami	Apparel	399	-1	10004,10006	1,1	-1	-1
257	M4 Gun	Apparel	399	-1	10007	1	-1	-1
258	Shingeki Bow	Apparel	399	-1	10008	1	-1	-1
259	KeiScythe	Apparel	399	-1	10009	1	-1	-1
260	Trapper Hat	Apparel	399	-1	10010	1	-1	-1
261	Ninja Glove	Apparel	399	-1	10011	1	-1	-1
262	rtx helm+armor	Apparel	399	-1	10012,10013	1,1	-1	-1
///Inivisio Helms
263	Invisio Helm - Lance	Apparel	399	-1	9409	1	-1	-1
264	Invisio Helm - Carsise	Apparel	399	-1	9410	1	-1	-1
265	Invisio Helm - Phyllis	Apparel	399	-1	9411	1	-1	-1
266	Invisio Helm - Ami	Apparel	399	-1	9412	1	-1	-1
///Water Break Upgrade
267	Soul of Water	Makes an water fusion	1199	1	9445	1	-1	-1
/// Apparels ROSO EXCLUSIVE
268	BlueDev Staff	Apparel	199	-1	10014	1	-1	-1
269	Seba Lucifer Lance	Apparel	199	-1	10015,10016,10017,10023	1,1,1,1	-1	-1
270	Chrunicus Knife	Apparel	199	-1	10018 1	-1	-1
271	Chrunicus Cutter	Apparel	199	-1	10019 1	-1	-1
272	Fallen God's Halo	Apparel	199	-1	10020 1	-1	-1
273	Blue bow - Black Soul	Apparel	199	-1	10021	1	-1	-1
274	Lucifer Bow	Apparel	199	-1	10022	1	-1	-1
275	Lucifer Gun	Apparel	199	-1	10024	1	-1	-1
276	Dark Luis Armor	Apparel	199	-1	10025	1	-1	-1
277	Paul The Boss Lance	Apparel	199	-1	10026,10027	1,1	-1	-1
278	BugsBunny Armor	Apparel	199	-1	10028	1	-1	-1
279	Alvin Bow	Apparel	199	-1	10029	1	-1	-1
280	Alvin Gun	Apparel	199	-1	10030	1	-1	-1
281	NewFeb's Vest	Apparel	199	-1	10031	1	-1	-1
282	A.K.A Emi	Apparel	199	-1	10032	1	-1	-1
283	Febsky Red Bow	Apparel	199	-1	10033	1	-1	-1
284	FebEdgar Hat v2	Apparel	199	-1	10034	1	-1	-1
285	FebEdgar Armor v1	Apparel	199	-1	10035	1	-1	-1
286	FebEdgar Staff v2	Apparel	199	-1	10036	1	-1	-1
287	FebEdgar Hat	Apparel	199	-1	10037	1	-1	-1
288	MsCute v1	Apparel	199	-1	10038	1	-1	-1
289	FebEdgar Staff	Apparel	199	-1	10039	1	-1	-1
290	Omar Lance	Apparel	199	-1	10040,10053	1,1	-1	-1
291	Omar Gun	Apparel	199	-1	10041	1	-1	-1
292	Omar Bow	Apparel	199	-1	10042	1	-1	-1
293	Chapman Gucci Lance	Apparel	199	-1	10043,10044	1,1	-1	-1
294	Chapman Ak 47	Apparel	199	-1	10045	1	-1	-1
295	Red Devil Kin Armor	Apparel	199	-1	10046	1	-1	-1
296	Red Devil Kin Knife	Apparel	199	-1	10047	1	-1	-1
297	Red Devil Kin Cutter	Apparel	199	-1	10048	1	-1	-1
298	Magic Armor	Apparel	199	-1	10049	1	-1	-1
299	Mata Perr@s Amor	Apparel	199	-1	10050	1	-1	-1
300	Mata Perr@s Gun	Apparel	199	-1	10051	1	-1	-1
301	Mata Perr@s Hat	Apparel	199	-1	10052	1	-1	-1
302	L- Hitter	Apparel	199	-1	10054	1	-1	-1
303	K- Bolt	Apparel	199	-1	10055	1	-1	-1
304	ilya's undies2020	Apparel	199	-1	10056	1	-1	-1
305	ilya's Hat2020	Apparel	199	-1	10057	1	-1	-1
306	ilya's Fooken Kunai	Apparel	199	-1	10058	1	-1	-1
307	Dark Classic Lance	Apparel	199	-1	10059,10060,10061	1,1,1	-1	-1
308	ilya's Armor 69	Apparel	199	-1	10062	1	-1	-1
309	ilya's Crusifix Gun	Apparel	199	-1	10063	1	-1	-1
310	ilya's Crusifix Bow	Apparel	199	-1	10064	1	-1	-1
311	God Sword	Apparel	199	-1	10065	1	-1	-1
312	Magic Hat	Apparel	199	-1	10066	1	-1	-1
313	Michael Gun	Apparel	199	-1	10067	1	-1	-1
314	Dark Classic Swords	Apparel	199	-1	10068	1	-1	-1
315	Dark Classic Crown	Apparel	199	-1	10069	1	-1	-1
316	Dark Classic Crown	Apparel	199	-1	10069	1	-1	-1
317	Jotaah Hat	Apparel	199	-1	10070	1	-1	-1
318	Kyllin-Drag Lance	Apparel	199	-1	10071,10072,10073	1,1,1	-1	-1
319	Y- Pink Lance	Apparel	199	-1	10074,10075,10076	1,1,1	-1	-1
320	M- Diamond Scepter	Apparel	199	-1	10077	1	-1	-1
321	Y- Demon Hitters	Apparel	199	-1	10078	1	-1	-1
322	Q- Demon Staff	Apparel	199	-1	10079	1	-1	-1
323	Neo's Lance	Apparel	199	-1	10080,10081,10082,10083	1,1,1,1	-1	-1
324	Neo's Scythe	Apparel	199	-1	10084	1	-1	-1
325	Neo's Scythe II	Apparel	199	-1	10085	1	-1	-1
326	Tobi Armor	Apparel	199	-1	10086	1	-1	-1
327	Elias Armor	Apparel	199	-1	10087	1	-1	-1
328	Tobi Bow	Apparel	199	-1	10088	1	-1	-1
329	KhadzDaGr8 Knife	Apparel	199	-1	10089	1	-1	-1
330	KhadzDaGr8 Cutter	Apparel	199	-1	10090	1	-1	-1
331	Prison Break Armor	Apparel	199	-1	10091	1	-1	-1
332	1 Shot 1 Kil	Apparel	199	-1	10092	1	-1	-1
333	Nem's Lance	Apparel	199	-1	10093,10094,10095,10096	1,1,1,1	-1	-1
334	Nem's Bow	Apparel	199	-1	10097	1	-1	-1
335	Nem's Gun	Apparel	199	-1	10098	1	-1	-1
336	Ancelmo's Lance	Apparel	199	-1	10099,10100	1,1	-1	-1
337	Ancelmo's Swords	Apparel	199	-1	10101	1	-1	-1
338	Damn Gun	Apparel	199	-1	10102	1	-1	-1
339	Infinity Sexy Armor	Apparel	199	-1	10103	1	-1	-1
340	Stunner's Sword	Apparel	199	-1	10104	1	-1	-1
341	Holy Divine Ksora Carsice	Apparel	199	-1	10105,10106,10107,10108	1,1,1,1	-1	-1
342	Lyra MP5 Gold Black	Apparel	199	-1	10109	1	-1	-1
343	Cancer Body	Apparel	199	-1	10110	1	-1	-1
344	Holy Divine Ksora Hammer	Apparel	199	-1	10111	1	-1	-1
345	Holy Divine Ksora Swords	Apparel	199	-1	10112	1	-1	-1
346	Scarl-Ray Gun	Apparel	199	-1	10113	1	-1	-1
347	L- Suit of Constitution	Apparel	199	-1	10114	1	-1	-1
348	L- Wilted Destiny	Apparel	199	-1	10115	1	-1	-1
349	Hat of Envy	Apparel	199	-1	10116	1	-1	-1
350	Mango Amor	Apparel	199	-1	10117	1	-1	-1
351	Mango Hat	Apparel	199	-1	10118	1	-1	-1
352	ING(JESS Q LB A)	Apparel	199	-1	10120	1	-1	-1
353	ING(JESS Q LB G)	Apparel	199	-1	10121	1	-1	-1
354	ING(JESS Q LB B)	Apparel	199	-1	10122	1	-1	-1
355	ING(JESS Q LB H)	Apparel	199	-1	10123	1	-1	-1
356	ING(JESS Q LB S)	Apparel	199	-1	10124	1	-1	-1
357	ING(JESS K RED H)	Apparel	199	-1	10125	1	-1	-1
358	ING (JESS K RED A)	Apparel	199	-1	10126	1	-1	-1
359	ING (JESS K RED G)	Apparel	199	-1	10127	1	-1	-1
360	ING(JESS K RED B)	Apparel	199	-1	10128	1	-1	-1
361	ING(JESS K RED PHYTHON)	Apparel	199	-1	10129	1	-1	-1
362	ING (JESS LB SKULL)	Apparel	199	-1	10130	1	-1	-1
363	ING(JESS LB AR 1)	Apparel	199	-1	10131	1	-1	-1
364	ING (JESS LB GL 1)	Apparel	199	-1	10132	1	-1	-1
365	ING (JESS LB BO 1)	Apparel	199	-1	10133	1	-1	-1
