[08-14 01:34:20]create bugbear778  pos = 97200 362100, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear465  pos = 144647 312739, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear465  pos = 144554 312638, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear465  pos = 145691 307635, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear465  pos = 145819 307667, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear465  pos = 143327 309089, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear465  pos = 144807 306035, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear465  pos = 144744 305979, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear465  pos = 140793 306737, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear465  pos = 139292 306379, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear465  pos = 136196 308547, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 161903 278855, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 85117 382840, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 97229 386767, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 111629 379508, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 126955 376808, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 128283 358096, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 159518 344147, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 164023 328975, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 164327 313371, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 163906 295204, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear460  pos = 160780 279398, angle = 145, rTime = 60
[08-14 01:34:21]create bugbear562  pos = 248170 58228, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 235287 57223, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 235817 57562, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 235721 58225, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 235312 59203, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 234976 60364, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 235541 60889, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 235408 61829, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 235395 62918, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 236224 63598, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 237283 64321, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 237411 65213, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 237103 65994, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 236786 66742, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 236673 67532, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 236612 68472, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 237369 69175, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 237435 70092, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 236858 70983, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 235984 71353, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 235222 71896, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 235815 73046, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 237447 71859, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 238394 72566, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 239877 72665, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 240648 72664, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 240932 71714, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 239851 71831, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 238456 71674, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 237923 70878, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 238452 69952, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 238280 69010, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 237658 67823, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 238467 67474, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 238269 66412, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 238347 65241, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 238343 64314, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 237987 63284, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 237793 62636, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 237574 61803, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 237403 60695, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 236421 60829, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 236348 59091, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 237183 58004, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 237441 57180, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 238727 56803, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 239100 57941, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 239295 59529, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 238201 59675, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 239583 61113, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 238298 60884, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 238975 62651, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 239137 63503, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 239582 64670, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 239517 65410, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 239326 68457, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 240185 69109, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 240283 68217, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 239613 66277, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 240811 66810, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 241223 66744, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 240871 64067, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 240401 62682, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 240979 61506, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 241466 62765, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 242284 63587, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 243371 63291, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 242828 62266, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 242512 61400, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 241454 60530, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 240723 59507, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 240139 58502, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 241026 57832, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 240360 56823, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 242091 57362, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 243165 57656, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 241987 58212, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 242963 59507, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 242624 60266, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 243806 60679, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 244107 62551, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 244838 63378, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 245919 63358, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 245288 62329, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 245066 61059, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 244928 60030, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 244336 59178, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 243860 58178, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 245044 57146, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 246508 56858, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 245802 57926, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 246796 58135, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 245940 59836, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 247392 59740, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 246914 60607, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 246789 62455, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 247678 63028, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 248889 62283, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 250286 62397, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 249782 61691, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 249491 60981, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 248617 60897, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 248169 59908, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 248050 58875, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 247736 57309, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 247923 56522, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 249306 56196, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 248874 57325, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 249841 57845, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 250633 58290, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 249257 59117, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 250615 59884, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear563  pos = 251403 60649, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear564  pos = 250908 58965, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear562  pos = 249868 56701, angle = 160, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 252008 243767, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 243429 240438, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 242880 241075, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 242470 242014, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 242449 242960, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 242640 244122, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 242892 245376, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 243588 246018, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 244218 246939, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 244906 247697, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 245690 248517, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 246767 249383, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 247564 250206, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 248396 250901, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 249246 251923, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 250112 252695, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 251190 253638, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 252533 254530, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 253321 255599, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 253896 255128, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 254597 254220, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 254883 253221, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 255462 252521, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 256396 252113, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 257065 251453, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 257719 250510, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 258457 249955, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 258962 248895, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 259331 248196, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 260604 247468, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 261215 246537, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 261808 245730, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 262292 244462, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 262365 243133, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 262013 242256, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 261951 241215, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 261081 240149, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 260311 239499, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 259670 238663, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 258890 238164, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 257760 238000, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 256827 238487, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 256268 239205, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 255759 240248, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 254734 241162, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 252411 241590, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 250667 241569, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 249423 240871, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 249377 239739, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 249230 239007, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 247905 238788, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 246229 238747, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 245426 239290, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 244459 241034, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 244427 242447, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 244847 243708, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 244450 245088, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 244963 245915, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 246079 246768, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 246556 245830, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 247697 247310, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 247526 248610, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 248328 249508, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 249672 249914, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 250169 251336, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 251387 251984, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 252490 252562, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 252671 253622, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 253489 253861, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 253995 252718, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 253871 251938, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 254788 251687, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 255799 251031, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 256786 250090, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 257404 249000, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 257885 248318, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 258139 247476, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 258693 246639, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 259607 246635, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 259490 245504, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 260402 244637, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 261354 244532, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 261085 243555, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 260487 243094, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 261077 241863, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 260097 240977, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 259835 240027, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 258816 240082, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 258915 239293, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 257759 239307, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 257184 240361, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 257583 241654, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 256932 243913, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 256157 245298, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 254994 245602, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 251625 243713, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 251862 244219, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 250065 244304, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 249958 244652, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 248425 245854, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 249146 247256, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 250333 246935, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 250378 248395, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 249386 248539, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 250580 249366, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 251926 250348, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 252911 251372, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 253764 250906, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 253318 250077, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 253985 249074, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 255201 250481, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 255028 249452, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 256433 249155, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 256082 248004, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 257108 247486, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 256219 245998, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 257521 245944, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 258577 245497, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 258526 244178, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 255148 242822, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 166884 376205, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 164588 374362, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 165308 373652, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 166430 373915, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 165929 374772, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 165827 375963, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 165375 376652, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 165914 377439, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 166211 378529, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 165652 379561, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 165938 380450, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 166028 381449, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 164826 382417, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 165625 383438, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 166193 382315, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 167212 381631, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 167014 380446, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 167402 379426, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 168185 380157, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 168940 379701, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 167889 378761, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 167770 377948, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 167350 376501, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 167038 375372, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 167174 374689, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 167989 375187, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 168559 376259, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 168565 377416, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 168915 378468, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 169853 379278, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 170494 380404, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 171723 380437, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 172572 380447, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 173797 380946, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 170890 379081, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 171627 379008, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 172147 378179, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 171058 377933, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 170024 377184, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 169912 376046, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 169521 374626, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 170774 374417, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 171310 375556, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 171606 376798, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear145  pos = 172661 377371, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear291  pos = 172547 375887, angle = 145, rTime = 30
[08-14 01:34:21]create bugbear146  pos = 171758 374555, angle = 145, rTime = 30
